"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"19","Alex Killorn","ANA","L","82","1039.7","12","12","8","4","24","55.81","97","12.37","9.22","228","160","105","39","5","19","28","14","14","0","0","11","54","9","76","68","17","6","4","60.00"
"36","Alex Pietrangelo","VGK","D","71","1298.8333333333","2","22","11","11","24","42.11","99","2.02","4.4","251","169","64","10","13","20","16","8","8","0","0","6","90","20","35","95","104","0","0","-"
"59","Oliver Ekman-Larsson","TOR","D","77","1352.9833333333","2","22","7","15","24","40.00","97","2.06","4.5","244","156","55","6","7","20","50","25","25","0","0","14","86","26","98","92","67","0","0","-"
"91","Charlie Coyle","BOS, COL","C","83","1031.7","13","11","7","4","24","61.54","82","15.85","10.35","171","131","105","48","15","20","18","9","9","0","0","14","44","32","101","39","46","271","275","49.63"
"104","Jeff Skinner","EDM","C, L","72","829.68333333333","14","10","7","3","24","72.73","124","11.29","14.32","235","175","125","58","10","23","14","7","7","0","0","14","40","18","43","43","23","16","15","51.61"
"183","Matt Grzelcyk","PIT","D","82","1424.4166666667","1","23","12","11","24","38.10","77","1.30","2.94","218","134","48","4","7","19","10","5","5","0","0","5","78","31","39","100","88","0","0","-"
"195","Teddy Blueger","VAN","C","82","967.75","6","18","11","7","24","72.73","81","7.41","9.3","160","128","88","46","7","20","33","15","14","1","0","11","48","19","102","55","32","394","344","53.39"
"244","Tyler Bertuzzi","CHI","L","82","1063.65","11","13","8","5","24","66.67","90","12.22","11.67","174","144","94","50","10","6","35","12","10","1","1","16","45","16","57","53","27","22","25","46.81"
"298","Brandon Montour","SEA","D","81","1527.0166666667","10","14","6","8","24","42.86","172","5.81","9.87","398","274","108","27","13","30","62","26","24","2","0","18","93","19","76","99","81","0","0","-"
"361","Nicolas Roy","VGK","C","71","909.86666666667","13","11","4","7","24","77.42","85","15.29","10.57","152","122","100","55","3","14","33","11","9","1","1","8","49","16","70","63","41","328","348","48.52"
"387","Conor Garland","VAN","R","81","1098.2666666667","8","16","11","5","24","82.76","127","6.30","11.78","256","198","120","46","7","29","45","17","15","1","1","24","54","18","46","84","53","4","9","30.77"
"392","Vladislav Gavrikov","L.A","D","82","1534.9666666667","4","20","8","12","24","39.34","99","4.04","4.76","263","151","67","11","7","28","28","14","14","0","0","5","58","17","40","96","99","0","0","-"
"429","Dante Fabbro","CBJ, NSH","D","68","1273.3","8","16","5","11","24","37.50","84","9.52","2.73","206","130","43","1","7","20","40","19","19","0","0","11","75","23","60","144","125","0","0","-"
"443","Mikhail Sergachev","UTA","D","77","1341.4166666667","9","15","9","6","24","38.71","100","9.00","4.66","275","169","69","3","10","25","26","13","13","0","0","4","97","23","50","82","89","0","0","-"
"549","Brady Tkachuk","OTT","L","72","984.6","11","13","6","7","24","66.67","194","5.67","18.62","345","282","177","84","11","40","103","40","34","5","1","33","39","17","216","59","31","94","91","50.81"
"573","Noah Dobson","NYI","D","71","1298.6666666667","8","16","9","7","24","46.15","129","6.20","5.18","307","200","76","12","14","14","24","12","12","0","0","10","90","27","50","153","109","0","0","-"
"622","Peyton Krebs","BUF","C","81","1008.6166666667","7","17","7","10","24","57.14","75","9.33","8.38","186","129","93","33","6","13","53","18","14","3","1","27","43","10","130","108","30","273","278","49.55"
"668","Vasily Podkolzin","EDM","R","82","1007.9666666667","8","16","6","10","24","61.54","112","7.14","14.08","196","162","121","70","6","17","48","16","13","2","1","15","52","20","204","90","47","13","41","24.07"
"708","Jack Quinn","BUF","R","74","892.76666666667","11","13","6","7","24","63.16","86","12.79","8.66","207","152","97","23","5","16","14","7","7","0","0","10","44","11","36","66","22","1","4","20.00"
"714","Dawson Mercer","N.J","C","82","1113.2166666667","11","13","9","4","24","61.54","101","10.89","13.08","215","154","120","62","6","20","12","6","6","0","0","5","46","11","35","78","40","85","121","41.26"
"792","Zack Bolduc","STL","C, R","72","803.66666666667","12","12","4","8","24","61.54","83","14.46","8.39","182","132","98","40","12","8","37","13","11","1","1","12","55","12","103","69","35","5","9","35.71"
"801","Simon Edvinsson","DET","D","78","1424","4","20","11","9","24","43.64","72","5.56","4.13","191","111","58","7","4","22","63","22","19","1","2","12","83","22","78","156","116","0","0","-"
"17","Claude Giroux","OTT","R","81","1007.6333333333","7","16","9","7","23","62.16","89","7.87","6.54","145","118","74","29","6","7","8","4","4","0","0","10","45","15","58","35","28","342","237","59.07"
"72","Marcus Foligno","MIN","L","77","940.53333333333","9","14","8","6","23","62.16","79","11.39","11.02","137","119","87","62","5","15","71","22","13","9","0","20","46","15","246","73","34","7","8","46.67"
"129","Adam Lowry","WPG","C","73","929.06666666667","13","10","2","8","23","67.65","85","15.29","13.47","177","146","112","67","3","19","26","7","3","4","0","11","42","18","136","84","37","489","416","54.03"
"155","Stefan Noesen","N.J","R","78","978.8","8","15","12","3","23","58.97","102","7.84","12.81","186","160","103","61","6","23","40","17","15","2","0","12","53","14","136","59","23","28","30","48.28"
"208","Alexander Kerfoot","UTA","C","81","968.51666666667","9","14","10","4","23","76.67","88","10.23","12.49","156","130","88","55","4","19","10","5","5","0","0","15","71","27","54","110","48","183","162","53.04"
"239","J.T. Compher","DET","L","76","979.5","6","17","9","8","23","76.67","74","8.11","9.5","130","108","88","47","7","10","24","8","7","0","1","10","40","16","27","65","49","378","447","45.82"
"252","Darnell Nurse","EDM","D","76","1428.4333333333","3","20","12","8","23","36.51","162","1.85","6.48","342","233","84","7","16","25","51","21","18","3","0","12","64","14","150","69","99","0","0","-"
"272","Frederick Gaudreau","MIN","C","82","1007.6666666667","10","13","9","4","23","69.70","87","11.49","7.63","161","123","81","36","6","12","8","4","4","0","0","4","40","22","45","49","43","411","425","49.16"
"313","Gustav Forsling","FLA","D","80","1490.7","7","16","9","7","23","34.85","175","4.00","5.55","384","244","95","8","16","34","16","8","8","0","0","8","61","33","74","70","54","0","0","-"
"379","Evan Rodrigues","FLA","C","82","1091.8166666667","11","12","5","7","23","53.49","130","8.46","13","274","201","121","50","9","30","30","15","15","0","0","14","55","18","125","96","22","109","128","45.99"
"383","Kevin Stenlund","UTA","C","82","926.41666666667","10","13","7","6","23","67.65","90","11.11","8.97","176","132","78","36","6","9","36","17","17","0","0","15","40","13","45","68","49","439","313","58.38"
"391","Adam Gaudette","OTT","R","81","717.01666666667","16","7","4","3","23","71.88","74","21.62","7.47","150","108","81","34","6","10","10","5","5","0","0","3","30","7","68","57","27","168","169","49.85"
"395","Matt Roy","WSH","D","69","1193.5333333333","3","20","12","8","23","41.07","80","3.75","4.16","240","142","61","9","6","25","23","10","9","1","0","6","83","13","99","133","90","0","0","-"
"495","Elias Pettersson","VAN","C","64","875.08333333333","7","16","8","8","23","67.65","65","10.77","9.23","159","116","103","44","5","6","12","6","6","0","0","16","31","19","70","76","64","351","409","46.18"
"571","Jack McBain","UTA","C","82","948.43333333333","11","12","7","5","23","60.53","79","13.92","10.47","169","128","104","52","4","19","72","20","11","8","1","18","57","13","289","110","41","217","205","51.42"
"628","Alex Turcotte","L.A","C","68","736.31666666667","8","15","10","5","23","69.70","70","11.43","9.93","134","110","96","53","5","18","20","9","9","0","0","5","33","9","45","98","30","49","62","44.14"
"631","Nils Hoglander","VAN","L","72","813","7","16","9","7","23","63.89","75","9.33","9.28","140","108","75","46","4","17","30","14","14","0","0","19","35","13","73","68","23","0","1","0.00"
"659","Shane Pinto","OTT","C","70","939.7","13","10","6","4","23","62.16","85","15.29","11.95","183","139","115","52","6","23","24","12","12","0","0","15","37","18","67","55","44","382","376","50.40"
"660","Philip Broberg","STL","D","68","1210.0166666667","7","16","8","8","23","47.92","89","7.87","4.54","224","142","54","12","11","19","16","7","7","0","0","8","98","18","39","133","87","0","0","-"
"730","Luke Evangelista","NSH","R","68","832.85","5","18","9","9","23","79.31","117","4.27","10.38","181","150","98","46","6","11","20","10","10","0","0","16","33","13","27","77","13","0","3","0.00"
"777","Matt Coronato","CGY","R","77","1090.2","15","8","7","1","23","57.50","142","10.56","11.74","288","205","144","43","13","28","25","11","10","1","0","15","43","20","35","92","33","48","69","41.03"
"877","Andrei Kuzmenko","CGY, L.A, PHI","L","66","825.05","7","16","7","9","23","65.71","59","11.86","7.58","136","97","82","40","4","14","12","6","6","0","0","15","49","21","19","61","21","1","0","100.00"
"882","Zach Benson","BUF","L","75","909.26666666667","6","17","13","4","23","54.76","89","6.74","12.75","171","146","117","74","2","22","56","24","23","0","1","24","37","17","32","83","24","4","11","26.67"
"2","Brent Burns","CAR","D","82","1293.4","6","16","8","8","22","36.07","134","4.48","4.2","383","224","83","5","16","35","20","10","10","0","0","5","85","29","7","41","68","0","0","-"
"30","Ryan McDonagh","T.B","D","82","1374.4666666667","2","20","9","11","22","32.84","69","2.90","2.97","180","115","45","10","7","9","20","10","10","0","0","3","101","22","17","82","111","0","0","-"
"100","Vladimir Tarasenko","DET","R","80","1007.7166666667","9","13","9","4","22","57.89","101","8.91","10.47","207","152","119","50","17","14","6","3","3","0","0","9","55","14","62","72","34","0","2","0.00"
"111","Nino Niederreiter","WPG","R","82","1082.5166666667","10","12","8","4","22","51.16","131","7.63","15.06","235","191","124","82","8","25","22","11","11","0","0","14","54","17","146","112","36","15","17","46.88"
"149","Dougie Hamilton","N.J","D","64","1003.2166666667","4","18","7","11","22","40.74","123","3.25","5.41","296","189","78","12","15","27","28","14","14","0","0","7","86","17","67","62","73","0","0","-"
"170","Tanner Pearson","VGK","L","78","891.88333333333","8","14","8","6","22","70.97","103","7.77","11.88","193","151","108","49","5","21","8","4","4","0","0","10","46","13","94","76","44","6","17","26.09"
"193","Damon Severson","CBJ","D","70","1164.6833333333","5","17","11","6","22","38.60","75","6.67","5.7","175","114","72","20","10","15","39","18","17","1","0","11","80","26","38","54","88","0","0","-"
"248","Jonathan Drouin","COL","L","43","606.11666666667","7","15","9","6","22","59.46","38","18.42","4.72","80","59","47","26","0","9","6","3","3","0","0","2","26","14","14","32","10","7","7","50.00"
"258","Alexander Wennberg","S.J","C","77","1018.6666666667","5","17","10","7","22","56.41","46","10.87","3.78","110","66","58","25","3","11","12","6","6","0","0","16","34","29","28","57","71","359","386","48.19"
"336","Vince Dunn","SEA","D","62","1114.0166666667","6","16","8","8","22","34.92","101","5.94","3.78","243","133","57","10","13","14","27","11","10","1","0","10","73","20","27","66","63","0","0","-"
"362","Anthony Beauvillier","PIT, WSH","L","81","989.05","14","8","3","5","22","55.00","138","10.14","16.35","250","197","162","82","4","25","14","7","7","0","0","16","28","13","137","78","31","10","12","45.45"
"449","Filip Hronek","VAN","D","61","1132.3","5","17","8","9","22","40.00","67","7.46","3.5","192","121","44","6","2","13","34","13","12","0","1","4","58","12","70","93","65","0","0","-"
"520","Neal Pionk","WPG","D","69","1236.2833333333","5","17","12","5","22","41.51","106","4.72","4.02","255","177","50","5","8","19","36","14","13","0","1","4","59","22","93","149","80","0","0","-"
"555","K'Andre Miller","NYR","D","74","1339.7833333333","7","15","10","5","22","35.48","91","7.69","4.02","226","140","63","8","8","22","20","10","10","0","0","6","78","38","99","81","82","0","0","-"
"665","Jordan Spence","L.A","D","79","1146.85","4","18","8","10","22","41.51","75","5.33","3.05","227","134","51","4","2","20","14","7","7","0","0","2","67","10","74","131","70","0","0","-"
"790","Brandt Clarke","L.A","D","78","1090.35","3","19","11","8","22","37.93","106","2.83","4.54","226","150","46","12","9","26","46","23","23","0","0","16","58","18","20","131","110","0","0","-"
"841","Jiri Kulich","BUF","C","62","774.06666666667","14","8","5","3","22","53.66","110","12.73","12.54","212","159","111","49","5","22","16","7","7","0","0","8","28","15","39","36","35","231","269","46.20"
"52","Marcus Johansson","MIN","L","72","1021.5166666667","7","14","12","2","21","65.63","98","7.14","8.75","200","142","88","33","5","21","10","5","5","0","0","9","37","8","44","72","24","4","12","25.00"
"121","Ondrej Palat","N.J","L","77","943.53333333333","11","10","4","6","21","55.26","86","12.79","10.66","175","137","112","53","6","23","10","5","5","0","0","17","51","24","116","79","56","4","16","20.00"
"142","Ryan Nugent-Hopkins","EDM","C","78","1016.5333333333","9","12","10","2","21","50.00","102","8.82","11.74","190","147","115","64","3","18","14","7","7","0","0","7","32","21","19","49","32","232","221","51.21"
"144","Adam Larsson","SEA","D","82","1446.6666666667","4","17","8","9","21","28.38","97","4.12","4.3","242","162","58","9","6","26","29","13","12","1","0","5","48","32","91","86","106","0","0","-"
"157","Vladislav Namestnikov","WPG","C","78","981","7","14","5","9","21","55.26","76","9.21","12.69","137","110","104","66","5","22","38","15","14","0","1","13","34","14","83","94","42","322","389","45.29"
"176","Cody Ceci","DAL, S.J","D","85","1525.55","4","17","5","12","21","29.17","82","4.88","3","205","117","45","6","6","9","22","11","11","0","0","9","69","20","61","131","127","0","0","-"
"196","Jake McCabe","TOR","D","66","1161.95","2","19","9","10","21","35.59","68","2.94","2.16","161","92","44","3","8","10","34","14","12","2","0","14","69","8","107","127","100","0","0","-"
"201","Brett Kulak","EDM","D","82","1475.5333333333","6","15","4","11","21","39.62","129","4.65","4.61","281","187","69","8","8","18","18","9","9","0","0","4","76","22","25","106","96","0","0","-"
"203","Josh Anderson","MTL","R","81","990.21666666667","12","9","5","4","21","60.00","97","12.37","13.55","190","151","135","67","8","20","77","33","31","1","1","26","32","14","166","55","27","27","16","62.79"
"216","MacKenzie Weegar","CGY","D","81","1471.4833333333","3","18","6","12","21","34.43","125","2.40","5.08","332","196","75","11","13","28","29","13","12","1","0","13","140","43","187","165","145","0","0","-"
"317","Victor Olofsson","VGK","L","56","714.91666666667","9","12","10","2","21","60.00","81","11.11","6.46","168","121","86","29","8","17","14","7","7","0","0","4","22","7","26","51","17","1","6","14.29"
"319","Jake Evans","MTL","C","82","977.1","7","14","11","3","21","65.63","57","12.28","8.31","139","98","87","36","2","14","10","5","5","0","0","17","54","11","117","119","38","434","361","54.59"
"374","Ivan Provorov","CBJ","D","82","1534.9666666667","5","16","5","11","21","29.17","84","5.95","3.85","224","123","62","10","6","18","20","10","10","0","0","11","108","22","27","129","94","0","0","-"
"388","Niko Mikkola","FLA","D","76","1330.5333333333","6","15","3","12","21","40.38","106","5.66","4.99","249","163","61","7","6","25","64","28","27","0","1","15","92","14","114","173","67","0","0","-"
"420","Sam Steel","DAL","C","79","922.53333333333","5","16","8","8","21","87.50","77","6.49","7.4","163","112","79","32","5","18","27","12","11","1","0","18","38","10","57","92","20","181","138","56.74"
"491","Jesper Boqvist","FLA","C","78","913.51666666667","10","11","6","5","21","63.64","80","12.50","9.76","155","124","88","42","4","13","14","7","7","0","0","12","32","15","180","108","21","64","82","43.84"
"501","Morgan Frost","CGY, PHI","C","81","1009.8666666667","11","10","4","6","21","58.33","114","9.65","12.36","219","159","132","56","5","19","18","9","9","0","0","11","54","32","64","48","56","403","395","50.50"
"575","Rasmus Sandin","WSH","D","82","1401.35","2","19","11","8","21","29.58","74","2.70","3.55","211","135","48","8","4","17","23","10","9","1","0","10","69","25","88","151","118","0","0","-"
"784","Cole Sillinger","CBJ","C","66","873.56666666667","6","15","9","6","21","60.00","94","6.38","8.64","179","137","85","35","11","17","29","9","7","1","1","10","44","19","68","75","29","237","274","46.38"
"29","Mikael Backlund","CGY","C","76","1050.6","12","8","5","3","20","57.14","137","8.76","13.77","271","214","135","57","13","30","30","14","14","0","0","8","57","30","37","39","39","502","501","50.05"
"306","Michael Amadio","OTT","R","72","918.46666666667","7","13","11","2","20","58.82","78","8.97","10.82","149","116","99","53","4","22","16","8","8","0","0","13","34","24","106","106","37","47","45","51.09"
"309","Viktor Arvidsson","EDM","L","67","880.13333333333","11","9","6","3","20","62.50","139","7.91","12.89","266","196","134","48","11","24","22","11","11","0","0","7","59","13","31","93","20","14","31","31.11"
"326","Andrew Mangiapane","WSH","L","81","924.38333333333","11","9","6","3","20","71.43","80","13.75","10.47","152","115","105","53","9","16","18","9","9","0","0","15","43","10","73","52","28","3","7","30.00"
"385","Alexandre Carrier","MTL, NSH","D","79","1394.8333333333","3","17","9","8","20","38.46","75","4.00","3.79","172","114","48","8","8","17","36","17","17","0","0","13","62","20","70","194","120","0","0","-"
"439","Samuel Girard","COL","D","73","1307.9833333333","2","18","9","9","20","33.90","87","2.30","3.25","210","128","48","5","8","14","14","7","7","0","0","8","78","22","53","82","92","0","0","-"
"454","Ross Colton","COL","C","61","747.3","9","11","7","4","20","71.43","98","9.18","12.8","202","158","117","59","10","20","18","9","9","0","0","11","43","15","141","70","41","31","41","43.06"
"487","Mikey Anderson","L.A","D","77","1427.5","3","17","6","11","20","42.55","77","3.90","3.48","238","138","51","9","10","20","24","12","12","0","0","9","49","18","104","151","91","0","0","-"
"560","Andrei Svechnikov","CAR","R","72","932.1","5","15","11","4","20","55.56","122","4.10","13.38","262","187","128","64","14","31","43","20","19","1","0","21","80","12","146","70","19","0","3","0.00"
"596","Paul Cotter","N.J","C","79","967.23333333333","15","5","3","2","20","74.07","86","17.44","10.66","186","136","107","44","6","18","52","23","21","2","0","17","37","17","235","119","29","36","33","52.17"
"602","Yegor Sharangovich","CGY","C","73","950.81666666667","8","12","8","4","20","74.07","87","9.20","9.98","206","143","108","44","9","25","6","3","3","0","0","4","45","15","12","63","30","113","145","43.80"
"669","Alex Newhook","MTL","C","82","1057.7333333333","12","8","5","3","20","55.56","92","13.04","13.28","211","157","135","66","4","18","22","11","11","0","0","10","35","15","86","93","28","205","272","42.98"
"729","Mavrik Bourque","DAL","C","73","823.55","9","11","5","6","20","60.61","69","13.04","10.09","144","116","98","50","5","16","6","3","3","0","0","13","37","12","41","102","34","149","169","46.86"
"3","Corey Perry","EDM","R","81","828.51666666667","13","6","3","3","19","54.29","82","15.85","10.91","166","123","106","54","5","13","59","18","12","5","1","26","37","12","34","68","25","13","14","48.15"
"39","Tyler Myers","VAN","D","71","1213.5","4","15","8","7","19","38.00","76","5.26","3.71","202","133","55","7","5","24","62","27","25","2","0","6","53","27","74","80","97","0","0","-"
"140","William Karlsson","VGK","C","53","707.55","6","13","9","4","19","70.37","101","5.94","8.58","199","152","77","37","4","13","4","2","2","0","0","7","43","10","16","60","31","344","237","59.21"
"153","Joel Armia","MTL","R","81","853.95","5","14","10","4","19","76.00","76","6.58","8.13","187","118","97","36","11","17","14","7","7","0","0","7","35","15","79","50","26","3","9","25.00"
"164","Morgan Rielly","TOR","D","82","1490.05","4","15","11","4","19","31.15","99","4.04","4.06","237","156","61","8","7","25","19","8","7","1","0","5","89","19","19","139","126","0","0","-"
"220","Jonny Brodzinski","NYR","C","51","553.55","12","7","3","4","19","82.61","68","17.65","6.24","119","97","65","30","3","11","4","2","2","0","0","5","23","11","25","27","19","77","79","49.36"
"238","Ryan Hartman","MIN","R","69","904.88333333333","8","11","8","3","19","59.38","133","6.02","13.6","258","194","124","55","10","29","61","22","18","3","1","26","63","21","72","56","40","242","262","48.02"
"255","Valeri Nichushkin","COL","R","43","605.58333333333","11","8","4","4","19","57.58","84","13.10","9.18","158","120","106","40","3","21","6","3","3","0","0","3","35","5","53","38","15","1","0","100.00"
"268","Trevor van Riemsdyk","WSH","D","82","1289.65","1","18","8","10","19","32.76","76","1.32","3","205","125","49","5","7","23","32","12","11","0","1","4","56","22","8","52","135","0","0","-"
"312","Michael Bunting","NSH, PIT","L","76","992.71666666667","7","12","9","3","19","51.35","111","6.31","14.34","230","171","128","72","10","24","56","25","25","0","0","24","51","11","66","58","17","2","6","25.00"
"320","Jake Middleton","MIN","D","67","1279.0166666667","8","11","7","4","19","40.43","93","8.60","4.62","220","133","78","13","9","18","36","15","13","2","0","13","64","20","92","77","129","0","0","-"
"393","Mason Appleton","WPG","C","71","958.61666666667","8","11","7","4","19","57.58","102","7.84","8.62","176","139","86","41","7","13","18","7","7","0","0","10","35","14","74","107","21","8","11","42.11"
"409","Ryan Lindgren","COL, NYR","D","72","1202.1166666667","4","15","4","11","19","40.43","59","6.78","3","199","104","58","6","5","12","38","19","19","0","0","11","66","11","70","126","96","0","0","-"
"452","Brandon Duhaime","WSH","R","82","889.3","8","11","6","5","19","65.52","75","10.67","10.23","163","126","92","46","5","10","83","24","14","9","1","22","33","11","151","90","48","14","15","48.28"
"545","Martin Fehervary","WSH","D","81","1246.3666666667","5","14","8","6","19","35.19","75","6.67","3.32","196","120","50","9","5","14","25","11","10","1","0","8","56","10","130","150","99","0","0","-"
"572","Kevin Bahl","CGY","D","73","1318.5333333333","2","17","9","8","19","41.30","77","2.60","2.67","208","126","46","4","7","18","25","11","10","1","0","5","74","21","96","71","89","0","0","-"
"594","Martin Pospisil","CGY","C","81","1014.3666666667","3","16","10","6","19","43.18","102","2.94","10.04","209","152","104","42","10","17","66","23","18","4","1","28","52","16","295","71","24","70","103","40.46"
"654","Nicholas Robertson","TOR","L","69","741.96666666667","13","6","4","2","19","67.86","100","13.00","7.71","203","153","87","29","7","12","16","8","8","0","0","11","26","17","75","43","32","2","3","40.00"
"656","Jakob Pelletier","CGY, PHI","L","49","517.21666666667","7","12","5","7","19","82.61","49","14.29","5.98","85","67","50","27","7","11","10","5","5","0","0","5","25","9","47","44","15","7","18","28.00"
"718","Lukas Reichel","CHI","L","70","730.13333333333","8","11","6","5","19","86.36","66","12.12","6.41","101","82","61","36","5","8","12","6","6","0","0","3","32","13","23","59","27","127","198","39.08"
"22","Patrick Maroon","CHI","L","68","707.78333333333","4","14","11","3","18","72.00","65","6.15","8.83","120","100","72","41","8","10","87","26","16","9","1","17","33","4","101","40","8","34","38","47.22"
"33","Lars Eller","PIT, WSH","C","80","928.01666666667","9","9","7","2","18","64.29","95","9.47","9.83","189","135","104","46","5","18","34","17","17","0","0","11","49","15","54","100","28","337","302","52.74"
"71","Mattias Ekholm","EDM","D","65","1171.5166666667","3","15","7","8","18","32.73","120","2.50","5.33","283","180","84","15","13","23","26","13","13","0","0","6","76","29","35","74","69","0","0","-"
"80","Nick Jensen","OTT","D","71","1219.6","2","16","6","10","18","33.33","70","2.86","2.67","195","112","55","9","11","12","6","3","3","0","0","7","74","18","48","149","79","0","0","-"
"124","Dylan DeMelo","WPG","D","82","1534.2333333333","3","15","7","8","18","25.71","74","4.05","3.04","190","130","42","7","4","15","36","18","18","0","0","12","82","26","130","177","88","0","0","-"
"125","Nick Seeler","PHI","D","77","1175.0333333333","3","15","7","8","18","34.62","80","3.75","2.79","230","140","47","11","5","18","36","15","13","2","0","11","83","21","119","107","173","0","0","-"
"169","Brady Skjei","NSH","D","82","1396.4166666667","6","12","4","8","18","40.91","130","4.62","5.4","268","179","67","8","12","24","32","16","16","0","0","6","82","25","45","83","73","0","0","-"
"186","Esa Lindell","DAL","D","80","1402.6666666667","3","15","7","8","18","27.27","82","3.66","3.73","208","127","61","9","6","19","14","7","7","0","0","8","94","27","45","169","131","0","0","-"
"199","Jaccob Slavin","CAR","D","80","1397.5833333333","6","12","4","8","18","28.57","104","5.77","5.03","299","196","71","11","8","41","6","3","3","0","0","4","71","50","13","104","100","0","0","-"
"232","Andrew Copp","DET","C","56","722.08333333333","6","12","9","3","18","66.67","57","10.53","7.08","102","83","67","35","6","8","8","4","4","0","0","4","31","17","9","35","28","283","270","51.18"
"271","Garnet Hathaway","PHI","R","67","685.85","8","10","4","6","18","69.23","75","10.67","8.39","131","112","78","40","6","18","56","21","18","2","1","28","25","7","243","62","47","5","10","33.33"
"274","Aaron Ekblad","FLA","D","56","970.65","3","15","6","9","18","40.91","72","4.17","3.07","213","131","50","10","7","21","47","22","21","1","0","14","50","19","71","49","50","0","0","-"
"329","Rasmus Andersson","CGY","D","81","1455.5166666667","8","10","4","6","18","42.86","122","6.56","5.35","292","200","79","17","6","21","46","19","18","0","1","18","90","25","26","103","140","0","0","-"
"403","Brandon Tanev","SEA, WPG","L","79","859.76666666667","8","10","6","4","18","72.00","87","9.20","10.47","166","146","94","60","8","16","16","8","8","0","0","11","47","19","155","83","74","6","16","27.27"
"516","Filip Chytil","NYR, VAN","C","56","715.46666666667","11","7","3","4","18","64.29","116","9.48","12.57","222","175","119","49","12","18","16","8","8","0","0","18","28","12","18","68","11","225","262","46.20"
"518","Alex Iafallo","WPG","L","82","812.95","8","10","7","3","18","50.00","74","10.81","10.14","138","114","90","60","6","16","15","6","5","1","0","5","25","19","51","29","47","6","10","37.50"
"530","Nick Perbix","T.B","D","74","1043.7833333333","6","12","7","5","18","40.00","66","9.09","4.12","187","113","50","11","8","15","20","10","10","0","0","5","59","21","50","145","62","0","0","-"
"532","Alexey Toropchenko","STL","R","80","884.28333333333","4","14","6","8","18","72.00","84","4.76","9.11","162","114","88","47","7","20","25","11","10","1","0","8","23","5","219","92","47","2","2","50.00"
"546","Joel Farabee","CGY, PHI","L","81","1022.95","9","9","7","2","18","60.00","132","6.82","14.36","217","175","132","71","7","28","34","14","12","2","0","15","55","17","90","92","47","12","18","40.00"
"591","Alexander Romanov","NYI","D","64","1243.8333333333","4","14","7","7","18","35.29","98","4.08","3.52","242","140","55","10","7","21","16","8","8","0","0","9","73","20","131","154","139","0","0","-"
"610","Logan O'Connor","COL","R","80","938.65","9","9","4","5","18","81.82","74","12.16","9.23","152","118","92","47","5","16","24","9","7","2","0","19","30","15","65","94","38","7","19","26.92"
"635","Moritz Seider","DET","D","82","1533.1166666667","4","14","6","8","18","31.58","111","3.60","5.21","264","177","60","13","8","16","34","17","17","0","0","17","73","24","175","108","125","0","0","-"
"671","Joel Kiviranta","COL","L","79","853.43333333333","12","6","4","2","18","62.07","72","16.67","9.42","146","107","91","49","6","11","18","9","9","0","0","6","32","12","111","87","33","19","14","57.58"
"690","Drew O'Connor","PIT, VAN","L","84","1042.9833333333","6","12","6","6","18","58.06","99","6.06","16.01","219","172","132","79","11","24","30","15","15","0","0","16","56","30","80","106","43","38","53","41.76"
"704","Ridly Greig","OTT","C","78","1007.8166666667","7","11","8","3","18","50.00","88","7.95","10.58","180","145","108","58","6","23","54","23","21","2","0","18","29","14","131","118","36","149","128","53.79"
"745","Gage Goncalves","T.B","C","60","726.86666666667","7","11","7","4","18","56.25","55","12.73","5.68","107","82","60","27","6","13","14","7","7","0","0","8","34","18","71","101","17","3","3","50.00"
"786","Mackie Samoskevich","FLA","R","72","808.25","10","8","6","2","18","66.67","85","11.76","10.78","193","151","109","47","4","18","12","6","6","0","0","12","41","8","128","98","32","0","1","0.00"
"813","Ryker Evans","SEA","D","73","1254.4","4","14","7","7","18","39.13","49","8.16","2.59","157","97","32","5","3","15","28","14","14","0","0","6","68","9","117","121","97","0","0","-"
"43","Roman Josi","NSH","D","53","979.83333333333","5","12","8","4","17","45.95","103","4.85","5.74","250","152","79","19","7","15","12","6","6","0","0","8","64","15","37","54","72","0","0","-"
"45","Adam Henrique","EDM","C","81","950.98333333333","9","8","4","4","17","53.13","81","11.11","10.33","152","122","98","54","5","20","12","6","6","0","0","4","53","17","54","47","69","406","302","57.34"
"70","Brian Dumoulin","ANA, N.J","D","80","1332.6666666667","1","16","9","7","17","36.96","61","1.64","3.28","153","97","41","8","4","18","14","7","7","0","0","11","48","25","68","134","85","0","0","-"
"81","Nic Dowd","WSH","C","82","991","10","7","4","3","17","48.57","75","13.33","11.02","147","113","104","56","12","14","30","15","15","0","0","13","44","25","115","106","47","426","386","52.46"
"96","Nick Bjugstad","UTA","C","66","756.11666666667","6","11","8","3","17","58.62","107","5.61","10.15","191","149","101","40","2","17","16","8","8","0","0","9","35","12","102","65","29","185","211","46.72"
"138","Joel Edmundson","L.A","D","73","1300.3833333333","5","12","6","6","17","26.56","85","5.88","2.94","235","150","53","6","8","21","16","8","8","0","0","4","59","20","88","81","90","0","0","-"
