player_name,expASV_on,expASV_off,delta_expASV
Clayton Keller,0.9275,0.9322222222222223,-0.004722222222222294
Artemi Panarin,0.9485714285714286,0.9208333333333333,0.02773809523809534
Emil Heineman,0.9299999999999999,0.9204545454545454,0.009545454545454524
Jack St. Ivany,0.9014285714285715,0.8861538461538462,0.015274725274725287
Colton Parayko,0.8963636363636364,0.9438095238095238,-0.0474458874458874
Noah Hanifin,0.9327272727272727,0.9438095238095238,-0.011082251082251027
Auston Matthews,0.9311111111111111,0.9122222222222223,0.018888888888888844
Elias Pettersson,0.908,0.93625,-0.028249999999999997
Cale Makar,0.9,0.9575,-0.057499999999999996
Nolan Allan,0.9533333333333334,0.9108333333333334,0.04249999999999998
Ryan Lomberg,0.876,0.9410526315789474,-0.06505263157894736
Neal Pionk,0.9436363636363636,0.9315789473684211,0.012057416267942545
Curtis Lazar,0.9483333333333334,0.9389189189189189,0.009414414414414485
Calum Ritchie,0.9542857142857143,0.9057142857142857,0.0485714285714286
Ryan McLeod,0.9223529411764706,0.9302325581395349,-0.007879616963064273
Matias Maccelli,0.9488888888888889,0.9211764705882353,0.02771241830065363
Alexander Holtz,0.9333333333333333,0.9426086956521739,-0.009275362318840519
Jordan Greenway,0.9222222222222223,0.9304761904761905,-0.00825396825396818
Aleksander Barkov,0.94,0.8989473684210526,0.04105263157894734
Samuel Honzek,0.9342857142857143,0.9247058823529412,0.00957983193277312
Carter Verhaeghe,0.93,0.9072727272727272,0.022727272727272818
David Kampf,0.875,0.9260869565217391,-0.05108695652173911
Ivan Ivan,0.9,0.9255555555555556,-0.025555555555555554
Jake Bean,0.94,0.916923076923077,0.023076923076922995
Jonah Gadjovich,0.9466666666666667,0.908,0.03866666666666663
Dawson Mercer,0.9414285714285714,0.9411428571428572,0.0002857142857142225
Josh Doan,0.94,0.9273684210526316,0.012631578947368327
Vincent Trocheck,0.945,0.9208695652173913,0.02413043478260868
Josh Anderson,0.92125,0.92125,0.0
Victor Olofsson,0.9628571428571429,0.9336,0.02925714285714287
Brandon Montour,0.9225,0.9482352941176471,-0.02573529411764708
Mackie Samoskevich,0.912,0.9121739130434783,-0.00017391304347824654
Rasmus Andersson,0.9228571428571428,0.9339999999999999,-0.011142857142857121
Derek Forbort,0.94,0.92,0.019999999999999907
Jack Hughes,0.944,0.94,0.0040000000000000036
Logan O'Connor,0.9044444444444444,0.935,-0.03055555555555567
Jonny Brodzinski,0.94,0.9257142857142857,0.014285714285714235
Beck Malenstyn,0.9254545454545454,0.9285714285714286,-0.0031168831168831845
Nikolai Kovalenko,0.95,0.9106666666666666,0.03933333333333333
Erik Haula,0.9276923076923077,0.9461111111111111,-0.01841880341880342
Kaiden Guhle,0.9383333333333334,0.9041666666666667,0.03416666666666668
Dylan Cozens,0.9217391304347826,0.9318918918918919,-0.010152761457109305
Joel Armia,0.906,0.9252631578947368,-0.01926315789473676
Vladislav Kolyachonok,0.9275,0.9322222222222223,-0.004722222222222294
Jamie Oleksiak,0.9111111111111111,0.95625,-0.04513888888888895
Ross Colton,0.94,0.9146666666666666,0.02533333333333332
Chandler Stephenson,0.9266666666666666,0.96,-0.033333333333333326
Conor Timmins,0.8854545454545455,0.94125,-0.05579545454545454
Logan Cooley,0.9133333333333333,0.9330434782608695,-0.0197101449275362
Jordan Kyrou,0.9145454545454546,0.9342857142857143,-0.019740259740259725
Travis Dermott,0.95,0.9125,0.03749999999999998
Brayden Pachal,0.9485714285714286,0.9188235294117647,0.029747899159663915
Juraj Slafkovsky,0.928235294117647,0.9174193548387097,0.010815939278937314
Alex Newhook,0.9242857142857143,0.92,0.004285714285714226
Kevin Bahl,0.9225,0.9299999999999999,-0.007499999999999951
Josh Manson,0.9275,0.9184615384615384,0.00903846153846155
Shea Theodore,0.9471428571428572,0.9344444444444444,0.012698412698412764
Haydn Fleury,0.948,0.9336,0.014399999999999968
Owen Power,0.9260869565217391,0.9291891891891892,-0.0031022326674501333
Justin Brazeau,0.8938461538461538,0.9272727272727272,-0.0334265734265734
Nicolas Aube-Kubel,0.95,0.9361904761904762,0.013809523809523716
Conor Garland,0.9428571428571428,0.9189473684210526,0.023909774436090214
Nathan Bastian,0.9571428571428572,0.9385714285714286,0.018571428571428572
Anthony Beauvillier,0.9,0.8890322580645161,0.010967741935483888
Tanner Pearson,0.9311111111111111,0.9434782608695652,-0.012367149758454099
Kevin Rooney,,0.9275,
Pavel Buchnevich,0.915,0.935,-0.020000000000000018
Pontus Holmberg,0.935,0.911578947368421,0.02342105263157901
Peyton Krebs,0.9228571428571428,0.9219999999999999,0.0008571428571428896
Ondrej Palat,0.9333333333333333,0.9372727272727273,-0.003939393939393909
Jesse Puljujarvi,0.904,0.8897142857142857,0.014285714285714346
Oliver Bjorkstrand,0.9,0.9454545454545454,-0.045454545454545414
Trent Frederic,0.905,0.9231578947368421,-0.01815789473684204
Jake McCabe,0.92,0.9176470588235294,0.0023529411764706687
Pat Maroon,0.9,0.9221052631578948,-0.02210526315789474
Corey Perry,0.915,0.92125,-0.006249999999999978
Rickard Rakell,0.9,0.89,0.010000000000000009
Alec Martinez,0.8975,0.9418181818181818,-0.04431818181818181
Oliver Ekman-Larsson,0.912,0.92,-0.008000000000000007
Brenden Dillon,0.9284210526315789,0.9493333333333334,-0.020912280701754438
Mikael Backlund,0.9577777777777777,0.9093333333333333,0.0484444444444444
TJ Brodie,0.9015384615384615,0.9285714285714286,-0.027032967032967092
Jordan Eberle,0.9657142857142857,0.9299999999999999,0.03571428571428581
Ryan Nugent-Hopkins,0.9339999999999999,0.906,0.027999999999999914
Taylor Hall,0.9244444444444444,0.9111111111111111,0.013333333333333308
Nick Leddy,0.8963636363636364,0.9438095238095238,-0.0474458874458874
Craig Smith,0.9,0.9221052631578948,-0.02210526315789474
Mattias Ekholm,0.914,0.926,-0.01200000000000001
Ryan Suter,0.9266666666666666,0.928,-0.0013333333333334085
Ryan Reaves,0.89,0.9208000000000001,-0.03080000000000005
Ian Cole,0.9333333333333333,0.9285714285714286,0.004761904761904745
Alex Pietrangelo,0.9388888888888889,0.9414285714285714,-0.0025396825396825085
Nils Hoglander,0.9166666666666666,0.928,-0.011333333333333417
Brad Marchand,0.9266666666666666,0.9107692307692308,0.015897435897435863
Dougie Hamilton,0.9445454545454546,0.9385185185185185,0.006026936026936047
Tyler Myers,0.922,0.9275,-0.005499999999999949
Mika Zibanejad,0.9476923076923077,0.9122222222222223,0.035470085470085455
Nick Foligno,0.8933333333333333,0.9219047619047619,-0.02857142857142858
Erik Karlsson,0.8819047619047619,0.9021052631578947,-0.020200501253132885
Lars Eller,0.898,0.8893333333333333,0.008666666666666711
Max Pacioretty,0.9533333333333334,0.9141666666666667,0.03916666666666668
Brendan Gallagher,0.9266666666666666,0.9208888888888889,0.005777777777777771
Nazem Kadri,0.9083333333333333,0.9466666666666667,-0.03833333333333333
Adam Henrique,0.86,0.935,-0.07500000000000007
Adam Larsson,0.9507692307692308,0.9283333333333333,0.022435897435897467
John Tavares,0.9142857142857143,0.92,-0.005714285714285783
Nino Niederreiter,0.9666666666666667,0.9283333333333333,0.03833333333333333
Calvin de Haan,0.9325,0.9153846153846154,0.017115384615384643
J.T. Miller,0.9085714285714286,0.9315789473684211,-0.023007518796992477
Brayden Schenn,0.94,0.922608695652174,0.017391304347825987
Sidney Crosby,0.9,0.8858333333333334,0.01416666666666666
Evgeni Malkin,0.8435294117647059,0.9269565217391305,-0.0834271099744246
Kris Letang,0.866,0.9,-0.03400000000000003
Mark Scheifele,0.9366666666666666,0.9355555555555556,0.0011111111111110628
Jeff Skinner,0.9542857142857143,0.9015384615384615,0.05274725274725278
Justin Faulk,0.9457142857142857,0.9133333333333333,0.0323809523809524
Jonathan Huberdeau,0.9339999999999999,0.9228571428571428,0.011142857142857121
Dmitry Kulikov,0.9181818181818182,0.908235294117647,0.00994652406417118
Christopher Tanev,0.9466666666666667,0.896,0.05066666666666664
Jaden Schwartz,0.94,0.94,0.0
Reilly Smith,0.95,0.9126315789473685,0.037368421052631495
Jason Zucker,0.94,0.925,0.014999999999999902
Chris Kreider,0.945,0.9157894736842105,0.029210526315789465
Aaron Ekblad,0.8941176470588236,0.94,-0.045882352941176374
Martin Pospisil,0.9111111111111111,0.9373333333333334,-0.026222222222222258
Nico Hischier,0.9342857142857143,0.944,-0.009714285714285675
Kevin Hayes,0.91,0.8853333333333333,0.024666666666666726
Henri Jokiharju,0.9339130434782609,0.9243243243243243,0.009588719153936553
Sam Bennett,0.86,0.933,-0.07300000000000006
Matthew Tkachuk,0.9171428571428571,0.9104761904761904,0.00666666666666671
Brett Kulak,0.9485714285714286,0.9046153846153846,0.04395604395604402
Parker Kelly,0.884,0.93375,-0.04974999999999996
Connor Clifton,0.9295238095238095,0.9271794871794872,0.002344322344322358
Lawson Crouse,0.935,0.9288888888888889,0.006111111111111178
Anton Lundell,0.8825,0.924,-0.04150000000000009
Dylan Holloway,0.9275,0.9275,0.0
Max Jones,0.8969230769230769,0.9254545454545454,-0.028531468531468485
Jake DeBrusk,0.905,0.9344444444444444,-0.029444444444444384
Nikita Zadorov,0.9016666666666666,0.9217391304347826,-0.020072463768116
Shane Wright,0.9,0.9454545454545454,-0.045454545454545414
Devon Toews,0.9018181818181819,0.944,-0.0421818181818181
Ivan Barbashev,0.9288888888888889,0.9443478260869566,-0.01545893719806768
Brendan Brisson,0.9628571428571429,0.9336,0.02925714285714287
Connor Murphy,0.9299999999999999,0.9130434782608696,0.016956521739130315
Kevin Stenlund,0.92,0.9355555555555556,-0.015555555555555545
John-Jason Peterka,0.926,0.9284,-0.0023999999999999577
Jack Eichel,0.9288888888888889,0.9443478260869566,-0.01545893719806768
Daniil Miromanov,0.8875,0.9475,-0.06000000000000005
Gabriel Vilardi,0.92375,0.95,-0.026249999999999996
Brayden McNabb,0.9299999999999999,0.946,-0.016000000000000014
Alex Iafallo,0.9466666666666667,0.9348148148148148,0.011851851851851891
Alex Vlasic,0.9116666666666666,0.9186666666666666,-0.007000000000000006
Tomas Hertl,0.9353846153846154,0.9431578947368421,-0.007773279352226714
Niko Mikkola,0.925,0.9025,0.022500000000000075
Ty Emberson,0.9145454545454546,0.9266666666666666,-0.012121212121212088
Philip Broberg,0.945,0.917,0.027999999999999914
Hampus Lindholm,0.9226666666666666,0.909,0.013666666666666605
Cody Glass,0.92,0.8832258064516129,0.03677419354838718
Juuso Valimaki,0.9299999999999999,0.9311111111111111,-0.0011111111111111738
Ryan Donato,0.892,0.9294117647058824,-0.03741176470588237
David Pastrnak,0.9128571428571428,0.9161904761904762,-0.0033333333333334103
Liam O'Brien,0.928,0.9314285714285714,-0.0034285714285713365
Morgan Rielly,0.9184615384615384,0.9185714285714286,-0.00010989010989015391
Alexander Kerfoot,0.9114285714285715,0.9378947368421052,-0.02646616541353375
Charlie McAvoy,0.9270588235294117,0.9033333333333333,0.02372549019607839
Mikko Rantanen,0.9177777777777778,0.925,-0.007222222222222241
Alexis Lafreniere,0.9485714285714286,0.9208333333333333,0.02773809523809534
Kirby Dach,0.9215384615384615,0.9211428571428572,0.00039560439560437644
Jacob Trouba,0.9290909090909091,0.926,0.003090909090909033
Brock Boeser,0.9225,0.9266666666666666,-0.004166666666666652
Jake Evans,0.884,0.9310526315789474,-0.047052631578947346
Tye Kartye,0.9359999999999999,0.9410000000000001,-0.0050000000000001155
Jared McCann,0.968,0.933,0.03499999999999992
MacKenzie Weegar,0.9066666666666667,0.94,-0.033333333333333215
Adam Klapka,0.892,0.9368421052631579,-0.044842105263157905
Morgan Barron,0.98,0.9328571428571428,0.04714285714285715
Simon Nemec,0.92,0.9515151515151515,-0.031515151515151496
Aatu Raty,0.96,0.9190909090909091,0.040909090909090895
Teuvo Teravainen,0.8925,0.9252631578947368,-0.03276315789473683
Uvis Balinskis,0.9266666666666666,0.9104,0.01626666666666665
Alex Barre-Boulet,0.9233333333333333,0.9205555555555556,0.002777777777777768
Miles Wood,0.9171428571428571,0.9242857142857143,-0.0071428571428571175
Vasily Podkolzin,0.928,0.9173333333333333,0.010666666666666713
Alexey Toropchenko,0.905,0.9307142857142857,-0.02571428571428569
Simon Benoit,0.9066666666666666,0.9219047619047619,-0.015238095238095273
Philipp Kurashev,0.924,0.9105882352941177,0.013411764705882345
Kaapo Kakko,0.8628571428571429,0.9458333333333333,-0.08297619047619043
Connor McDavid,0.925,0.9166666666666666,0.008333333333333415
Alex Tuch,0.92,0.9326315789473685,-0.012631578947368438
Cole Perfetti,0.9233333333333333,0.9391666666666667,-0.015833333333333366
Pavel Dorofeyev,0.9333333333333333,0.9426086956521739,-0.009275362318840519
John Beecher,0.895,0.9174193548387097,-0.022419354838709715
Nick Schmaltz,0.9275,0.9322222222222223,-0.004722222222222294
Arber Xhekaj,0.9163636363636364,0.9227027027027027,-0.006339066339066335
Evan Bouchard,0.92,0.92,0.0
Noel Acciari,0.9057142857142857,0.8838461538461538,0.021868131868131857
A.J. Greer,0.8955555555555555,0.92,-0.02444444444444449
Jonathan Drouin,0.924,0.92,0.0040000000000000036
Morgan Geekie,0.9257142857142857,0.9121428571428571,0.013571428571428568
Brett Howden,0.9319999999999999,0.9436363636363636,-0.011636363636363667
Paul Cotter,0.95,0.9395121951219512,0.01048780487804879
David Savard,0.9015384615384615,0.9285714285714286,-0.027032967032967092
Christian Dvorak,0.9514285714285714,0.9160975609756098,0.03533101045296161
Adam Fox,0.9485714285714286,0.9208333333333333,0.02773809523809534
Carson Soucy,0.9325,0.9222222222222223,0.010277777777777719
Nathan Walker,0.905,0.9307142857142857,-0.02571428571428569
Mark Kastelic,0.895,0.9174193548387097,-0.022419354838709715
Mason Appleton,0.9542857142857143,0.9304347826086956,0.023850931677018683
Zach Benson,0.9233333333333333,0.9423529411764706,-0.019019607843137276
Marcus Pettersson,0.8890909090909092,0.8944444444444444,-0.0053535353535352215
Seth Jones,0.92,0.912,0.008000000000000007
Joel Kiviranta,0.92,0.9223529411764706,-0.0023529411764705577
Derek Ryan,0.925,0.91875,0.006250000000000089
Gustav Forsling,0.88875,0.9433333333333334,-0.05458333333333332
Stefan Noesen,0.9418181818181818,0.9410526315789474,0.0007655502392344138
Elias Lindholm,0.9153846153846154,0.9145454545454546,0.0008391608391608019
Evan Rodrigues,0.86,0.9184,-0.05840000000000001
Jack Quinn,0.9242105263157895,0.9297560975609757,-0.005545571245186176
Sean Durzi,0.9254545454545454,0.9346666666666666,-0.009212121212121227
Rasmus Dahlin,0.9239999999999999,0.9308571428571428,-0.006857142857142895
Brandon Carlo,0.8883333333333333,0.928695652173913,-0.040362318840579725
Mikhail Sergachev,0.924,0.935,-0.01100000000000001
Matty Beniers,0.964,0.9339999999999999,0.030000000000000027
Dylan Guenther,0.925,0.9318181818181819,-0.006818181818181834
Matt Grzelcyk,0.876,0.8966666666666667,-0.020666666666666722
Pavel Zacha,0.9173333333333333,0.913,0.0043333333333333
Colin Miller,0.9057142857142857,0.9452173913043478,-0.03950310559006209
Jesper Bratt,0.9294117647058824,0.9475,-0.018088235294117627
Daniel Sprong,0.89,0.9411111111111111,-0.05111111111111111
Jason Dickinson,0.9166666666666666,0.9152380952380952,0.0014285714285714457
Dylan DeMelo,0.94,0.9336842105263158,0.0063157894736841635
Matthew Kessel,0.9125,0.9325,-0.020000000000000018
Kasperi Kapanen,0.938,0.9227272727272727,0.015272727272727216
Mattias Samuelsson,0.9252631578947368,0.9292682926829269,-0.00400513478819009
Jonas Siegenthaler,0.954,0.9324137931034483,0.021586206896551663
Zach Whitecloud,0.95,0.9366666666666666,0.013333333333333308
Filip Chytil,0.8628571428571429,0.9458333333333333,-0.08297619047619043
Andrei Kuzmenko,0.9228571428571428,0.9294117647058824,-0.006554621848739561
Mitchell Marner,0.9222222222222223,0.9166666666666666,0.005555555555555647
Casey Mittelstadt,0.955,0.9015384615384615,0.05346153846153845
Sam Lafferty,0.918,0.9299999999999999,-0.0119999999999999
Tage Thompson,0.9252631578947368,0.9292682926829269,-0.00400513478819009
Connor Bedard,0.8885714285714286,0.925,-0.03642857142857148
Quinn Hughes,0.9166666666666666,0.9328571428571428,-0.0161904761904762
Ilya Mikheyev,0.925,0.911578947368421,0.013421052631579
Barrett Hayton,0.9333333333333333,0.9294117647058824,0.0039215686274509665
Connor Zary,0.9,0.9314285714285714,-0.03142857142857136
Max Domi,0.9066666666666666,0.9219047619047619,-0.015238095238095273
Johnathan Kovacevic,0.9485714285714286,0.9382857142857143,0.010285714285714342
William Nylander,0.9133333333333333,0.92,-0.00666666666666671
Braden Schneider,0.9299999999999999,0.9257142857142857,0.004285714285714226
Teddy Blueger,0.9314285714285714,0.9231578947368421,0.008270676691729317
Lane Hutson,0.91,0.925,-0.015000000000000013
Mathieu Joseph,0.9575,0.9175,0.040000000000000036
Eeli Tolvanen,0.915,0.9447619047619048,-0.029761904761904767
K'Andre Miller,0.945,0.9208695652173913,0.02413043478260868
Victor Mancini,0.9138461538461539,0.9366666666666666,-0.022820512820512784
Brandon Tanev,0.9133333333333333,0.955,-0.04166666666666663
Cole Koepke,0.84,0.9193939393939394,-0.07939393939393946
Michael Bunting,0.8471428571428572,0.9153846153846154,-0.06824175824175815
Will Cuylle,0.8628571428571429,0.9458333333333333,-0.08297619047619043
Mark Stone,0.928,0.9454545454545454,-0.01745454545454539
Viktor Arvidsson,0.952,0.888,0.06399999999999995
Cole Caufield,0.928235294117647,0.9174193548387097,0.010815939278937314
Kiefer Sherwood,0.944,0.91375,0.03025
Samuel Girard,0.9275,0.9184615384615384,0.00903846153846155
Rasmus Kupari,0.98,0.9328571428571428,0.04714285714285715
Ryan Graves,0.9072727272727272,0.8855172413793103,0.021755485893416915
Seamus Casey,0.912,0.9487179487179487,-0.036717948717948645
Sam Reinhart,0.94,0.8989473684210526,0.04105263157894734
Adam Boqvist,0.98,0.9096296296296297,0.0703703703703703
Blake Coleman,0.9142857142857143,0.9329411764705883,-0.018655462184874017
Jiri Kulich,0.9242857142857143,0.9208695652173913,0.0034161490683229934
Timo Meier,0.94125,0.9412121212121212,3.787878787886445e-05
Rutger McGroarty,0.9171428571428571,0.886060606060606,0.031082251082251156
Yanni Gourde,0.94,0.94,0.0
Robert Thomas,0.92,0.9292307692307692,-0.009230769230769154
Alexandre Texier,0.91,0.945,-0.03499999999999992
Zach Hyman,0.9171428571428571,0.9215384615384615,-0.00439560439560438
Vladislav Namestnikov,0.9233333333333333,0.9391666666666667,-0.015833333333333366
Darnell Nurse,0.88,0.9371428571428572,-0.05714285714285716
Mike Matheson,0.9283333333333333,0.9141666666666667,0.01416666666666666
Nicolas Roy,0.96,0.9344,0.025599999999999956
Kurtis MacDermid,0.94,0.95125,-0.011250000000000093
Dylan Samberg,0.928,0.94,-0.0119999999999999
Anthony Mantha,0.9288888888888889,0.9266666666666666,0.0022222222222222365
Will Borgen,0.9028571428571428,0.9544444444444444,-0.051587301587301626
Steven Lorentz,0.9533333333333334,0.9141666666666667,0.03916666666666668
Kyle Connor,0.9266666666666666,0.9453333333333334,-0.01866666666666672
Nathan MacKinnon,0.9177777777777778,0.925,-0.007222222222222241
Sam Carrick,0.95,0.9237037037037037,0.026296296296296262
Ryker Evans,0.95,0.9368421052631579,0.013157894736842035
Justin Barron,0.9090909090909091,0.9248648648648649,-0.015773955773955795
Connor Brown,0.8533333333333333,0.9317647058823529,-0.07843137254901966
Mason Lohrei,0.8745454545454545,0.9333333333333333,-0.05878787878787883
Jesper Boqvist,0.9044444444444444,0.9157894736842105,-0.011345029239766102
Filip Hronek,0.9275,0.922,0.005499999999999949
Joey Anderson,0.94,0.9125,0.02749999999999997
Josh Morrissey,0.9442857142857143,0.92875,0.01553571428571432
Zachary Jones,0.9083333333333333,0.9389473684210526,-0.030614035087719316
Sam Malinski,0.9514285714285714,0.9071428571428571,0.04428571428571426
Drew O'Connor,0.87,0.913,-0.04300000000000004
Vincent Desharnais,0.924,0.9257142857142857,-0.0017142857142856682
Nicolas Hague,0.9339999999999999,0.9427272727272727,-0.008727272727272806
Tomas Tatar,0.9275,0.9439024390243902,-0.016402439024390203
Tyler Bertuzzi,0.92,0.9136842105263158,0.006315789473684275
Jack McBain,0.9133333333333333,0.9330434782608695,-0.0197101449275362
Matthew Knies,0.8981818181818182,0.9325,-0.0343181818181818
Nikolaj Ehlers,0.9314285714285714,0.9373913043478261,-0.005962732919254754
Adam Lowry,0.94,0.9342857142857143,0.005714285714285672
Vince Dunn,0.96,0.9242857142857143,0.0357142857142857
Radek Faksa,0.905,0.9307142857142857,-0.02571428571428569
Bowen Byram,0.919047619047619,0.9328205128205128,-0.013772893772893813
Jake Neighbours,0.92,0.9292307692307692,-0.009230769230769154
Nick Suzuki,0.9144444444444444,0.9253333333333333,-0.010888888888888948
Charlie Coyle,0.9244444444444444,0.9115384615384615,0.012905982905982882
Andre Burakovsky,0.926,0.9493333333333334,-0.023333333333333317
Leon Draisaitl,0.9333333333333333,0.9142857142857143,0.01904761904761909
Andrew Peeke,0.8981818181818182,0.9225,-0.024318181818181794
Nicholas Robertson,0.9266666666666666,0.9161904761904762,0.010476190476190417
Nils Aman,0.9333333333333333,0.9211764705882353,0.012156862745098085
Eetu Luostarinen,0.904,0.9166666666666666,-0.012666666666666604
Mattias Janmark,0.8533333333333333,0.9317647058823529,-0.07843137254901966
Adam Edstrom,0.95,0.9237037037037037,0.026296296296296262
Keegan Kolesar,0.95,0.9376923076923077,0.012307692307692242
Michael Kesselring,0.9359999999999999,0.9295238095238095,0.006476190476190413
Danton Heinen,0.908,0.93625,-0.028249999999999997
