game_id,period,clock_seconds,player_id,on_off,xg
2c79c49d-c247-42c4-9126-a65c0ec1a1be,1,8,b8aeaff3-6f9f-458c-b2a7-d6e7e33754e8,on,0.02
2c79c49d-c247-42c4-9126-a65c0ec1a1be,1,8,371333ea-0157-4c17-9d08-58de23433cfd,on,0.02
2c79c49d-c247-42c4-9126-a65c0ec1a1be,1,8,a719751e-58f4-44e6-a8a3-b0fcfe5add7c,on,0.02
2c79c49d-c247-42c4-9126-a65c0ec1a1be,1,8,46ebc2ab-7e0b-4c07-8b5a-9c8fa0509494,on,0.02
2c79c49d-c247-42c4-9126-a65c0ec1a1be,1,8,1d8c643f-4534-4413-82ff-ffce5379f9f8,on,0.02
2c79c49d-c247-42c4-9126-a65c0ec1a1be,1,8,b2265192-8a74-4401-955e-629899f5292b,off,0.02
2c79c49d-c247-42c4-9126-a65c0ec1a1be,1,8,b94c7db3-3cda-4ae0-8359-8ebd60eb658c,off,0.02
2c79c49d-c247-42c4-9126-a65c0ec1a1be,1,8,20323392-b186-4f46-b32f-f28b3f32c01c,off,0.02
2c79c49d-c247-42c4-9126-a65c0ec1a1be,1,8,0cc207c2-d69d-4c56-acbb-3cd9fa01321c,off,0.02
2c79c49d-c247-42c4-9126-a65c0ec1a1be,1,8,0a52fe4d-eefb-42aa-9fb7-37d0d52dc557,off,0.02
2c79c49d-c247-42c4-9126-a65c0ec1a1be,1,8,353f9e1c-5782-407a-9950-51a94d052567,off,0.02
2c79c49d-c247-42c4-9126-a65c0ec1a1be,1,8,4f130bf0-9daf-4765-98c2-fb79bd4bd76d,off,0.02
2c79c49d-c247-42c4-9126-a65c0ec1a1be,1,8,f5a7d914-02d4-4821-9dfd-83160eb58003,off,0.02
2c79c49d-c247-42c4-9126-a65c0ec1a1be,1,8,89fdc2bc-146f-4b21-81d9-6983fcf1f40c,off,0.02
2c79c49d-c247-42c4-9126-a65c0ec1a1be,1,8,436ef17d-0f24-11e2-8525-18a905767e44,off,0.02
2c79c49d-c247-42c4-9126-a65c0ec1a1be,1,8,a6bd3315-d04f-461d-8969-f974197519c2,off,0.02
2c79c49d-c247-42c4-9126-a65c0ec1a1be,1,8,5c78e3bd-fa23-431c-b2d9-7d52a3be0c20,off,0.02
2c79c49d-c247-42c4-9126-a65c0ec1a1be,1,8,9cface5b-dca2-4cfa-a990-9f6dfa150ca1,off,0.02
2c79c49d-c247-42c4-9126-a65c0ec1a1be,1,40,b8aeaff3-6f9f-458c-b2a7-d6e7e33754e8,on,0.02
2c79c49d-c247-42c4-9126-a65c0ec1a1be,1,40,f5a7d914-02d4-4821-9dfd-83160eb58003,on,0.02
2c79c49d-c247-42c4-9126-a65c0ec1a1be,1,40,89fdc2bc-146f-4b21-81d9-6983fcf1f40c,on,0.02
2c79c49d-c247-42c4-9126-a65c0ec1a1be,1,40,5c78e3bd-fa23-431c-b2d9-7d52a3be0c20,on,0.02
2c79c49d-c247-42c4-9126-a65c0ec1a1be,1,40,46ebc2ab-7e0b-4c07-8b5a-9c8fa0509494,on,0.02
2c79c49d-c247-42c4-9126-a65c0ec1a1be,1,40,371333ea-0157-4c17-9d08-58de23433cfd,off,0.02
2c79c49d-c247-42c4-9126-a65c0ec1a1be,1,40,b2265192-8a74-4401-955e-629899f5292b,off,0.02
2c79c49d-c247-42c4-9126-a65c0ec1a1be,1,40,b94c7db3-3cda-4ae0-8359-8ebd60eb658c,off,0.02
2c79c49d-c247-42c4-9126-a65c0ec1a1be,1,40,20323392-b186-4f46-b32f-f28b3f32c01c,off,0.02
2c79c49d-c247-42c4-9126-a65c0ec1a1be,1,40,0cc207c2-d69d-4c56-acbb-3cd9fa01321c,off,0.02
2c79c49d-c247-42c4-9126-a65c0ec1a1be,1,40,0a52fe4d-eefb-42aa-9fb7-37d0d52dc557,off,0.02
2c79c49d-c247-42c4-9126-a65c0ec1a1be,1,40,353f9e1c-5782-407a-9950-51a94d052567,off,0.02
2c79c49d-c247-42c4-9126-a65c0ec1a1be,1,40,a719751e-58f4-44e6-a8a3-b0fcfe5add7c,off,0.02
2c79c49d-c247-42c4-9126-a65c0ec1a1be,1,40,4f130bf0-9daf-4765-98c2-fb79bd4bd76d,off,0.02
2c79c49d-c247-42c4-9126-a65c0ec1a1be,1,40,436ef17d-0f24-11e2-8525-18a905767e44,off,0.02
2c79c49d-c247-42c4-9126-a65c0ec1a1be,1,40,a6bd3315-d04f-461d-8969-f974197519c2,off,0.02
2c79c49d-c247-42c4-9126-a65c0ec1a1be,1,40,9cface5b-dca2-4cfa-a990-9f6dfa150ca1,off,0.02
